id,city_id,name,marker,coordinates,cable_id
koko-head-hi-united-states,16116,"Koko Head, HI, United States",measle_white,"<Point><coordinates>-157.695988,21.277539</coordinates></Point>",1456
koko-head-hi-united-states,16116,"Koko Head, HI, United States",measle_white,"<Point><coordinates>-157.695988,21.277539</coordinates></Point>",1455
kihei-maui-hi-united-states,7795,"Kihei, Maui, HI, United States",measle_white,"<Point><coordinates>-156.463078,20.782129</coordinates></Point>",1456
kihei-maui-hi-united-states,7795,"Kihei, Maui, HI, United States",measle_white,"<Point><coordinates>-156.463078,20.782129</coordinates></Point>",1455
lihue-hi-united-states,4822,"Lihue, HI, United States",measle_white,"<Point><coordinates>-159.368546,21.974901</coordinates></Point>",1456
lihue-hi-united-states,4822,"Lihue, HI, United States",measle_white,"<Point><coordinates>-159.368546,21.974901</coordinates></Point>",1455
gran-canaria-canary-islands-spain,5721,"Gran Canaria, Canary Islands, Spain",measle_white,"<Point><coordinates>-15.596593,27.957711</coordinates></Point>",1449
lanzaarote-canary-islands-spain,7781,"Lanzaarote, Canary Islands, Spain",measle_white,"<Point><coordinates>-13.650402,29.038472</coordinates></Point>",1449
skaill-united-kingdom,16021,"Skaill, United Kingdom",measle_white,"<Point><coordinates>-2.717155,58.943146</coordinates></Point>",1836
dunnet-head-united-kingdom,16020,"Dunnet Head, United Kingdom",measle_white,"<Point><coordinates>-3.376579,58.670294</coordinates></Point>",1836
whitehead-united-kingdom,16018,"Whitehead, United Kingdom",measle_white,"<Point><coordinates>-5.718716,54.753694</coordinates></Point>",1834
troon-united-kingdom,11461,"Troon, United Kingdom",measle_white,"<Point><coordinates>-4.659928,55.541292</coordinates></Point>",1834
aberdeen-united-kingdom,3537,"Aberdeen, United Kingdom",measle_white,"<Point><coordinates>-2.106804,57.153791</coordinates></Point>",1203
oslo-norway,3062,"Oslo, Norway",measle_white,"<Point><coordinates>10.749977,59.912286</coordinates></Point>",1203
copenhagen-denmark,3059,"Copenhagen, Denmark",measle_white,"<Point><coordinates>12.569312,55.676155</coordinates></Point>",1203
esbjerg-denmark,3250,"Esbjerg, Denmark",measle_white,"<Point><coordinates>8.456912,55.465218</coordinates></Point>",1203
rota-spain,10400,"Rota, Spain",measle_white,"<Point><coordinates>-6.363003,36.626262</coordinates></Point>",1666
